Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.2134,0,0,0,0,0.702412,-0.683765,0.23865,-0.0291856,0,0,0,0,0.138203,-0.15324,0.0571743,-0.00729696,0.65,0,0,0,3.00366e-17,-3.22775e-17,1.15348e-17,-1.39292e-18,0,0,0,0,0,0,0,0
2.1888,1,0.456784,-0.139184,-0.0400154,0.163407,-0.207748,0.0890866,-0.0125607,0,-0.177306,-0.111105,-0.01401,-0.194583,0.217431,-0.0804237,0.0101942,0.65,-4.04991e-17,-1.83315e-17,1.61058e-17,9.18888e-17,2.63924e-17,4.35973e-17,-5.18008e-18,0,0,0,0,0,0,0,0
2.1888,1,-0.530167,-0.0701959,0.0309663,-0.219567,0.283984,-0.117653,0.0161293,-1,-0.469282,0.0701959,0.0216764,0.107709,-0.0629944,0.0118461,-0.000608672,0.65,-1.10884e-17,-2.86364e-17,1.11809e-17,9.25245e-17,2.4613e-17,-1.08041e-17,1.56262e-18,0,0,0,0,0,0,0,0
2.2134,0,-0.0605139,0.111105,-0.0037734,-0.108356,0.0868429,-0.0270374,0.00306205,-1,0.540305,0.139184,-0.0578211,0.282109,-0.382281,0.163515,-0.0228245,0.65,-5.15164e-18,-2.18858e-17,6.62262e-18,0,0,0,0,0,0,0,0,0,0,0,0
